Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2014. Resultados definitivos,,,,,,,
Fecha de consulta: 26/08/2021 05:04:19 a. m.,,,,,,,
,,,,,,,
Año Censal,Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
2014,01 Aguascalientes,001 Aguascalientes,311 Industria alimentaria,7521,4766,2755,
2014,01 Aguascalientes,001 Aguascalientes,312 Industria de las bebidas y del tabaco,2370,2145,225,
2014,01 Aguascalientes,001 Aguascalientes,313 Fabricación de insumos textiles y acabado de textiles,1018,671,347,
2014,01 Aguascalientes,001 Aguascalientes,314 Fabricación de productos textiles excepto prendas de vestir,2333,1408,925,
2014,01 Aguascalientes,001 Aguascalientes,315 Fabricación de prendas de vestir,6234,2337,3897,
2014,01 Aguascalientes,001 Aguascalientes,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,340,247,93,
2014,01 Aguascalientes,001 Aguascalientes,31C  Subsectores agrupados por el principio de confidencialidad,79,70,9,
2014,01 Aguascalientes,001 Aguascalientes,321 Industria de la madera,646,600,46,
2014,01 Aguascalientes,001 Aguascalientes,322 Industria del papel,153,86,67,
2014,01 Aguascalientes,001 Aguascalientes,323 Impresión e industrias conexas,1100,733,367,
2014,01 Aguascalientes,001 Aguascalientes,325 Industria química,131,66,65,
2014,01 Aguascalientes,001 Aguascalientes,326 Industria del plástico y del hule,619,486,133,
2014,01 Aguascalientes,001 Aguascalientes,327 Fabricación de productos a base de minerales no metálicos,557,460,97,
2014,01 Aguascalientes,001 Aguascalientes,332 Fabricación de productos metálicos,3536,3010,526,
2014,01 Aguascalientes,001 Aguascalientes,333 Fabricación de maquinaria y equipo,795,717,78,
2014,01 Aguascalientes,001 Aguascalientes,334 Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos,10609,3968,6641,
2014,01 Aguascalientes,001 Aguascalientes,335 Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica,478,356,122,
2014,01 Aguascalientes,001 Aguascalientes,336 Fabricación de equipo de transporte,12876,11128,1748,
2014,01 Aguascalientes,001 Aguascalientes,337 Fabricación de muebles colchones y persianas,2773,2557,216,
2014,01 Aguascalientes,001 Aguascalientes,339 Otras industrias manufactureras,513,318,195,
2014,01 Aguascalientes,002 Asientos,311 Industria alimentaria,102,59,43,
2014,01 Aguascalientes,002 Asientos,312 Industria de las bebidas y del tabaco,9,6,3,
2014,01 Aguascalientes,002 Asientos,31C  Subsectores agrupados por el principio de confidencialidad,295,124,171,
2014,01 Aguascalientes,002 Asientos,321 Industria de la madera,6,5,1,
2014,01 Aguascalientes,002 Asientos,327 Fabricación de productos a base de minerales no metálicos,9,7,2,
2014,01 Aguascalientes,002 Asientos,332 Fabricación de productos metálicos,23,22,1,
2014,01 Aguascalientes,003 Calvillo,311 Industria alimentaria,311,145,166,
2014,01 Aguascalientes,003 Calvillo,312 Industria de las bebidas y del tabaco,20,8,12,
2014,01 Aguascalientes,003 Calvillo,314 Fabricación de productos textiles excepto prendas de vestir,8,0,8,
