Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
31 Yucatán,001 Abalá,311    Industria alimentaria                                                                                                                                                                                   ,7,8,15,
31 Yucatán,001 Abalá,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,1,2,3,
31 Yucatán,001 Abalá,321    Industria de la madera                                                                                                                                                                                  ,2,0,2,
11 Guanajuato,001 Abasolo,311    Industria alimentaria                                                                                                                                                                                   ,90,65,155,
28 Tamaulipas,001 Abasolo,311    Industria alimentaria                                                                                                                                                                                   ,27,32,59,
19 Nuevo León,001 Abasolo,311    Industria alimentaria                                                                                                                                                                                   ,2,2,4,
11 Guanajuato,001 Abasolo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,15,2,17,
28 Tamaulipas,001 Abasolo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,9,1,10,
11 Guanajuato,001 Abasolo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,10,62,72,
05 Coahuila de Zaragoza,001 Abasolo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,5,23,28,
28 Tamaulipas,001 Abasolo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,50,101,151,
11 Guanajuato,001 Abasolo,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,0,1,
19 Nuevo León,001 Abasolo,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,4,8,12,
11 Guanajuato,001 Abasolo,321    Industria de la madera                                                                                                                                                                                  ,7,1,8,
05 Coahuila de Zaragoza,001 Abasolo,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
28 Tamaulipas,001 Abasolo,321    Industria de la madera                                                                                                                                                                                  ,26,1,27,
11 Guanajuato,001 Abasolo,323    Impresión e industrias conexas                                                                                                                                                                          ,6,5,11,
11 Guanajuato,001 Abasolo,325    Industria química                                                                                                                                                                                       ,26,2,28,
11 Guanajuato,001 Abasolo,326    Industria del plástico y del hule                                                                                                                                                                       ,4,0,4,
11 Guanajuato,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,361,1,362,
05 Coahuila de Zaragoza,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2,0,2,
28 Tamaulipas,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,6,0,6,
19 Nuevo León,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,8,0,8,
11 Guanajuato,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,52,1,53,
05 Coahuila de Zaragoza,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,1,0,1,
28 Tamaulipas,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,9,0,9,
19 Nuevo León,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
11 Guanajuato,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,16,0,16,
05 Coahuila de Zaragoza,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,1,0,1,
28 Tamaulipas,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
19 Nuevo León,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,74,5,79,
11 Guanajuato,001 Abasolo,339    Otras industrias manufactureras                                                                                                                                                                         ,7,0,7,
28 Tamaulipas,001 Abasolo,339    Otras industrias manufactureras                                                                                                                                                                         ,1,31,32,
20 Oaxaca,001 Abejones,311    Industria alimentaria                                                                                                                                                                                   ,0,5,5,
07 Chiapas,001 Acacoyagua,311    Industria alimentaria                                                                                                                                                                                   ,8,7,15,
07 Chiapas,001 Acacoyagua,315    Fabricación de prendas de vestir                                                                                                                                                                        ,3,0,3,
07 Chiapas,001 Acacoyagua,332    Fabricación de productos metálicos                                                                                                                                                                      ,5,0,5,
07 Chiapas,001 Acacoyagua,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,6,0,6,
07 Chiapas,001 Acacoyagua,339    Otras industrias manufactureras                                                                                                                                                                         ,2,0,2,
21 Puebla,001 Acajete,311    Industria alimentaria                                                                                                                                                                                   ,62,91,153,
30 Veracruz de Ignacio de la Llave,001 Acajete,311    Industria alimentaria                                                                                                                                                                                   ,1,4,5,
21 Puebla,001 Acajete,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,0,2,2,
21 Puebla,001 Acajete,315    Fabricación de prendas de vestir                                                                                                                                                                        ,5,2,7,
21 Puebla,001 Acajete,321    Industria de la madera                                                                                                                                                                                  ,6,0,6,
30 Veracruz de Ignacio de la Llave,001 Acajete,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
21 Puebla,001 Acajete,323    Impresión e industrias conexas                                                                                                                                                                          ,1,1,2,
21 Puebla,001 Acajete,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,198,97,295,
30 Veracruz de Ignacio de la Llave,001 Acajete,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,2,0,2,
21 Puebla,001 Acajete,332    Fabricación de productos metálicos                                                                                                                                                                      ,41,0,41,
21 Puebla,001 Acajete,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,10,0,10,
21 Puebla,001 Acajete,339    Otras industrias manufactureras                                                                                                                                                                         ,1,1,2,
15 México,001 Acambay,311    Industria alimentaria                                                                                                                                                                                   ,22,19,41,
15 México,001 Acambay,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,18,14,32,
15 México,001 Acambay,315    Fabricación de prendas de vestir                                                                                                                                                                        ,59,25,84,
15 México,001 Acambay,323    Impresión e industrias conexas                                                                                                                                                                          ,0,1,1,
15 México,001 Acambay,326    Industria del plástico y del hule                                                                                                                                                                       ,1,0,1,
15 México,001 Acambay,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,8,0,8,
15 México,001 Acambay,332    Fabricación de productos metálicos                                                                                                                                                                      ,22,2,24,
15 México,001 Acambay,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,4,0,4,
18 Nayarit,001 Acaponeta,311    Industria alimentaria                                                                                                                                                                                   ,261,77,338,
18 Nayarit,001 Acaponeta,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,28,2,30,
18 Nayarit,001 Acaponeta,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,3,4,
18 Nayarit,001 Acaponeta,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,6,0,6,
18 Nayarit,001 Acaponeta,321    Industria de la madera                                                                                                                                                                                  ,22,0,22,
18 Nayarit,001 Acaponeta,322    Industria del papel                                                                                                                                                                                     ,7,1,8,
18 Nayarit,001 Acaponeta,323    Impresión e industrias conexas                                                                                                                                                                          ,10,0,10,
18 Nayarit,001 Acaponeta,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,4,1,5,
18 Nayarit,001 Acaponeta,332    Fabricación de productos metálicos                                                                                                                                                                      ,29,0,29,
18 Nayarit,001 Acaponeta,336    Fabricación de equipo de transporte                                                                                                                                                                     ,2,0,2,
18 Nayarit,001 Acaponeta,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,11,0,11,
18 Nayarit,001 Acaponeta,339    Otras industrias manufactureras                                                                                                                                                                         ,6,0,6,
12 Guerrero,001 Acapulco de Juárez,311    Industria alimentaria                                                                                                                                                                                   ,1703,628,2331,
12 Guerrero,001 Acapulco de Juárez,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,965,117,1082,
12 Guerrero,001 Acapulco de Juárez,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,27,25,52,
12 Guerrero,001 Acapulco de Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,177,169,346,
12 Guerrero,001 Acapulco de Juárez,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,24,4,28,
12 Guerrero,001 Acapulco de Juárez,321    Industria de la madera                                                                                                                                                                                  ,88,4,92,
12 Guerrero,001 Acapulco de Juárez,322    Industria del papel                                                                                                                                                                                     ,32,25,57,
12 Guerrero,001 Acapulco de Juárez,323    Impresión e industrias conexas                                                                                                                                                                          ,233,76,309,
12 Guerrero,001 Acapulco de Juárez,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,67,17,84,
12 Guerrero,001 Acapulco de Juárez,325    Industria química                                                                                                                                                                                       ,67,12,79,
12 Guerrero,001 Acapulco de Juárez,326    Industria del plástico y del hule                                                                                                                                                                       ,78,16,94,
12 Guerrero,001 Acapulco de Juárez,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,363,35,398,
12 Guerrero,001 Acapulco de Juárez,331    Industrias metálicas básicas                                                                                                                                                                            ,5,0,5,
12 Guerrero,001 Acapulco de Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,569,22,591,
12 Guerrero,001 Acapulco de Juárez,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,7,0,7,
12 Guerrero,001 Acapulco de Juárez,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,1,0,1,
12 Guerrero,001 Acapulco de Juárez,336    Fabricación de equipo de transporte                                                                                                                                                                     ,5,0,5,
12 Guerrero,001 Acapulco de Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,230,9,239,
12 Guerrero,001 Acapulco de Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,103,67,170,
14 Jalisco,001 Acatic,311    Industria alimentaria                                                                                                                                                                                   ,18,19,37,
14 Jalisco,001 Acatic,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,28,8,36,
14 Jalisco,001 Acatic,315    Fabricación de prendas de vestir                                                                                                                                                                        ,4,63,67,
14 Jalisco,001 Acatic,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,3,4,
14 Jalisco,001 Acatic,321    Industria de la madera                                                                                                                                                                                  ,5,1,6,
14 Jalisco,001 Acatic,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,578,132,710,
14 Jalisco,001 Acatic,332    Fabricación de productos metálicos                                                                                                                                                                      ,9,0,9,
14 Jalisco,001 Acatic,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,8,2,10,
14 Jalisco,001 Acatic,339    Otras industrias manufactureras                                                                                                                                                                         ,1,2,3,
13 Hidalgo,001 Acatlán,311    Industria alimentaria                                                                                                                                                                                   ,12,9,21,
