Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
31 Yucatán,001 Abalá,311    Industria alimentaria                                                                                                                                                                                   ,      * ,10,4,6,
11 Guanajuato,001 Abasolo,311    Industria alimentaria                                                                                                                                                                                   ,     67 ,220,107,113,
28 Tamaulipas,001 Abasolo,311    Industria alimentaria                                                                                                                                                                                   ,     12 ,42,28,14,
28 Tamaulipas,001 Abasolo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,11,11,0,
05 Coahuila de Zaragoza,001 Abasolo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,30,0,30,
11 Guanajuato,001 Abasolo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,61,14,47,
11 Guanajuato,001 Abasolo,321    Industria de la madera                                                                                                                                                                                  ,     12 ,23,23,0,
28 Tamaulipas,001 Abasolo,321    Industria de la madera                                                                                                                                                                                  ,      * ,7,7,0,
11 Guanajuato,001 Abasolo,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,8,4,4,
28 Tamaulipas,001 Abasolo,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,2,1,1,
11 Guanajuato,001 Abasolo,325    Industria química                                                                                                                                                                                       ,      * ,30,28,2,
19 Nuevo León,001 Abasolo,325    Industria química                                                                                                                                                                                       ,      * ,127,127,0,
11 Guanajuato,001 Abasolo,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,30,22,8,
05 Coahuila de Zaragoza,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,2,1,1,
11 Guanajuato,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     78 ,419,412,7,
28 Tamaulipas,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,4,4,0,
19 Nuevo León,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,2,2,0,
05 Coahuila de Zaragoza,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,1,1,0,
11 Guanajuato,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,     37 ,75,74,1,
28 Tamaulipas,001 Abasolo,332    Fabricación de productos metálicos                                                                                                                                                                      ,      7 ,8,8,0,
28 Tamaulipas,001 Abasolo,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,1,1,0,
11 Guanajuato,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,5,5,0,
19 Nuevo León,001 Abasolo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,79,52,27,
11 Guanajuato,001 Abasolo,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,2,0,2,
28 Tamaulipas,001 Abasolo,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,28,1,27,
20 Oaxaca,001 Abejones,311    Industria alimentaria                                                                                                                                                                                   ,      * ,2,1,1,
07 Chiapas,001 Acacoyagua,311    Industria alimentaria                                                                                                                                                                                   ,     16 ,38,17,21,
07 Chiapas,001 Acacoyagua,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,11,8,3,
07 Chiapas,001 Acacoyagua,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      4 ,4,4,0,
07 Chiapas,001 Acacoyagua,322    Industria del papel                                                                                                                                                                                     ,      * ,1,1,0,
07 Chiapas,001 Acacoyagua,332    Fabricación de productos metálicos                                                                                                                                                                      ,      6 ,7,7,0,
07 Chiapas,001 Acacoyagua,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     10 ,21,21,0,
07 Chiapas,001 Acacoyagua,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,3,3,0,
21 Puebla,001 Acajete,311    Industria alimentaria                                                                                                                                                                                   ,    111 ,196,68,128,
30 Veracruz de Ignacio de la Llave,001 Acajete,311    Industria alimentaria                                                                                                                                                                                   ,      * ,8,5,3,
21 Puebla,001 Acajete,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,2,2,0,
21 Puebla,001 Acajete,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,144,32,112,
21 Puebla,001 Acajete,321    Industria de la madera                                                                                                                                                                                  ,      * ,7,7,0,
21 Puebla,001 Acajete,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,    145 ,356,229,127,
30 Veracruz de Ignacio de la Llave,001 Acajete,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,2,2,0,
21 Puebla,001 Acajete,332    Fabricación de productos metálicos                                                                                                                                                                      ,     36 ,59,59,0,
21 Puebla,001 Acajete,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      8 ,18,17,1,
15 México,001 Acambay,311    Industria alimentaria                                                                                                                                                                                   ,     35 ,70,31,39,
15 México,001 Acambay,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,44,17,27,
15 México,001 Acambay,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,335,60,275,
15 México,001 Acambay,321    Industria de la madera                                                                                                                                                                                  ,      * ,14,12,2,
15 México,001 Acambay,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,1,1,0,
