Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
31 Yucatán,001 Abalá,311    Industria alimentaria ,20,11,9,
31 Yucatán,001 Abalá,315    Fabricación de prendas de vestir ,3,1,2,
31 Yucatán,001 Abalá,321    Industria de la madera ,4,4,0,
28 Tamaulipas,001 Abasolo,311    Industria alimentaria ,36,16,20,
05 Coahuila de zaragoza,001 Abasolo,311    Industria alimentaria ,5,1,4,
11 Guanajuato,001 Abasolo,311    Industria alimentaria ,256,141,115,
28 Tamaulipas,001 Abasolo,312    Industria de las bebidas y del tabaco ,18,17,1,
11 Guanajuato,001 Abasolo,312    Industria de las bebidas y del tabaco ,13,10,3,
05 Coahuila de zaragoza,001 Abasolo,312    Industria de las bebidas y del tabaco ,2,1,1,
11 Guanajuato,001 Abasolo,314    Fabricación de productos textiles excepto prendas de vestir ,56,51,5,
28 Tamaulipas,001 Abasolo,315    Fabricación de prendas de vestir ,9,0,9,
11 Guanajuato,001 Abasolo,315    Fabricación de prendas de vestir ,29,7,22,
05 Coahuila de zaragoza,001 Abasolo,315    Fabricación de prendas de vestir ,1,0,1,
11 Guanajuato,001 Abasolo,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,437,92,345,
28 Tamaulipas,001 Abasolo,321    Industria de la madera ,1,1,0,
11 Guanajuato,001 Abasolo,321    Industria de la madera ,7,7,0,
05 Coahuila de zaragoza,001 Abasolo,321    Industria de la madera ,2,2,0,
28 Tamaulipas,001 Abasolo,323    Impresión e industrias conexas ,1,1,0,
11 Guanajuato,001 Abasolo,323    Impresión e industrias conexas ,13,7,6,
11 Guanajuato,001 Abasolo,325    Industria química ,30,27,3,
19 Nuevo león,001 Abasolo,325    Industria química ,12,12,0,
11 Guanajuato,001 Abasolo,327    Fabricación de productos a base de minerales no metálicos ,541,525,16,
28 Tamaulipas,001 Abasolo,332    Fabricación de productos metálicos ,14,13,1,
11 Guanajuato,001 Abasolo,332    Fabricación de productos metálicos ,84,83,1,
05 Coahuila de zaragoza,001 Abasolo,332    Fabricación de productos metálicos ,1,1,0,
28 Tamaulipas,001 Abasolo,337    Fabricación de muebles colchones y persianas ,4,4,0,
11 Guanajuato,001 Abasolo,337    Fabricación de muebles colchones y persianas ,12,12,0,
28 Tamaulipas,001 Abasolo,339    Otras industrias manufactureras ,1,1,0,
11 Guanajuato,001 Abasolo,339    Otras industrias manufactureras ,1,0,1,
20 Oaxaca,001 Abejones,311    Industria alimentaria ,3,1,2,
07 Chiapas,001 Acacoyagua,311    Industria alimentaria ,46,28,18,
07 Chiapas,001 Acacoyagua,312    Industria de las bebidas y del tabaco ,18,15,3,
07 Chiapas,001 Acacoyagua,315    Fabricación de prendas de vestir ,1,1,0,
07 Chiapas,001 Acacoyagua,321    Industria de la madera ,2,2,0,
07 Chiapas,001 Acacoyagua,327    Fabricación de productos a base de minerales no metálicos ,2,2,0,
07 Chiapas,001 Acacoyagua,332    Fabricación de productos metálicos ,28,27,1,
07 Chiapas,001 Acacoyagua,337    Fabricación de muebles colchones y persianas ,20,18,2,
