Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
31 Yucatán,001 Abalá,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,11,10,1,
31 Yucatán,001 Abalá,31  - 33 industrias manufactureras ,27,16,11,
31 Yucatán,001 Abalá,46     Comercio al por menor ,78,31,47,
31 Yucatán,001 Abalá,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,3,1,2,
31 Yucatán,001 Abalá,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,224,152,72,
31 Yucatán,001 Abalá,81     Otros servicios excepto actividades gubernamentales ,9,8,1,
28 Tamaulipas,001 Abasolo,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,47,45,2,
19 Nuevo león,001 Abasolo,21     Minería ,88,71,17,
11 Guanajuato,001 Abasolo,21     Minería ,4,4,0,
05 Coahuila de zaragoza,001 Abasolo,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,7,7,0,
28 Tamaulipas,001 Abasolo,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,9,8,1,
11 Guanajuato,001 Abasolo,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,47,41,6,
11 Guanajuato,001 Abasolo,23     Construcción ,125,113,12,
05 Coahuila de zaragoza,001 Abasolo,31  - 33 industrias manufactureras ,11,5,6,
28 Tamaulipas,001 Abasolo,31  - 33 industrias manufactureras ,84,53,31,
19 Nuevo león,001 Abasolo,31  - 33 industrias manufactureras ,12,12,0,
11 Guanajuato,001 Abasolo,31  - 33 industrias manufactureras ,1479,962,517,
05 Coahuila de zaragoza,001 Abasolo,43     Comercio al por mayor ,5,3,2,
28 Tamaulipas,001 Abasolo,43     Comercio al por mayor ,81,60,21,
19 Nuevo león,001 Abasolo,43     Comercio al por mayor ,1,1,0,
11 Guanajuato,001 Abasolo,43     Comercio al por mayor ,167,122,45,
05 Coahuila de zaragoza,001 Abasolo,46     Comercio al por menor ,24,4,20,
28 Tamaulipas,001 Abasolo,46     Comercio al por menor ,474,191,283,
