"","decision","2002-1","2002-3","2005-1","2005-3","2009-1","2009-3"
"1",1,0.0893259577955337,0.67140067459613,0.073276754295177,0.686592950932965,0.0914563106796116,0.711894702632434
"2",2,0.579184593321041,0.808272678856737,0.632995239080936,0.821181755355909,0.693203883495146,0.877153071173221
"3",3,0.0807211636959639,0.209657376176105,0.0620989443179466,0.166551485832757,0.058252427184466,0.171758206044849
"4",4,0.0422044662978898,0.307651340315995,0.0314634651210929,0.246026261230131,0.0322330097087379,0.266330841728957
"5",5,0.0540872771972956,0.13225634652938,0.0387083419581867,0.118693849343469,0.0485436893203883,0.147546311342216
"6",6,0.0741651300962917,0.16793893129771,0.060442972469468,0.143918451969592,0.0646601941747573,0.1771205719857
"7",7,0.328621184183569,0.0944434581927925,0.306768784930656,0.0991706979958535,0.372233009708738,0.11975950601235
"8",8,0.267363245236632,0.21018995206817,0.261850548540675,0.236869384934347,0.281941747572816,0.251868703282418
"9",9,0.0934234787953288,0.0429611219598793,0.0629269302421859,0.0476848652384243,0.0871844660194175,0.0506987325316867
"10",10,0.682032370415898,0.366767264335168,0.691161250258746,0.420352453351762,0.76873786407767,0.484562885927852
"11",11,0.266338864986683,0.0836144150541452,0.18567584351066,0.0742916378714582,0.249902912621359,0.0784855378615535
"12",12,0.0413849620979308,0.0827267885673709,0.0308424756779135,0.0621976503109882,0.0512621359223301,0.0992850178745531
