"","folio","ls","ls00","pid_link"
"1",1000,1,1,"0000100001"
"2",1000,2,2,"0000100002"
"3",1000,3,3,""
"4",1000,4,4,"0000100004"
"5",1000,5,5,"0000100005"
"6",1003,1,1,"0000100301"
"7",1003,2,2,"0000100003"
"8",2000,1,1,"0000200001"
"9",2000,2,2,"0000200002"
"10",2000,3,3,"0000200003"
"11",2000,4,4,"0000200004"
"12",2000,5,5,"0000200005"
"13",2000,6,6,"0000200006"
"14",2000,7,7,"0000200007"
"15",2000,8,8,"0000200008"
"16",3000,1,1,"0000300001"
"17",3000,2,2,"0000300002"
"18",3000,3,3,"0000300003"
"19",3000,4,4,"0000300004"
"20",3000,5,5,"0000300005"
"21",3000,6,6,"0000300006"
"22",3000,7,7,"0000300007"
"23",3000,8,8,"0000300008"
"24",4000,1,1,"0000400001"
"25",4000,2,2,"0000400002"
"26",4000,3,3,"0000400003"
"27",4000,4,4,"0000400004"
"28",4000,5,5,"0000400005"
"29",4000,6,6,"0000400006"
"30",6000,1,1,"0000600001"
"31",6000,2,2,"0000600002"
"32",6000,3,3,"0000600003"
"33",6000,4,4,"0000600004"
"34",6000,5,5,"0000600005"
"35",6000,6,6,"0000600006"
"36",6000,7,7,"0000600007"
"37",6000,8,8,"0000600008"
"38",6000,9,9,"0000600009"
"39",7000,1,1,"0000700001"
"40",7000,2,2,"0000700002"
"41",7000,3,3,"0000700003"
"42",7000,4,4,"0000700004"
"43",8000,1,1,"0000800001"
"44",8000,2,2,"0000800002"
"45",8000,3,3,"0000800003"
"46",8000,4,4,"0000800004"
"47",10000,1,1,"0001000001"
"48",10000,2,2,"0001000002"
"49",10000,3,3,"0001000003"
"50",10000,4,4,"0001000004"
"51",10000,5,5,"0001000005"
"52",10000,6,6,"0001000006"
"53",11000,1,1,"0001100001"
"54",11000,2,2,"0001100002"
"55",11000,3,3,"0001100003"
"56",11000,4,4,"0001100004"
"57",11000,5,5,"0001100005"
"58",12000,1,1,"0001200001"
"59",13000,1,1,"0001300001"
"60",13000,2,2,"0001300002"
"61",14000,1,1,"0001400001"
"62",14000,2,2,"0001400002"
"63",14000,3,3,"0001400003"
"64",16000,1,1,"0001600001"
"65",16000,2,2,"0001600002"
"66",16000,3,3,"0001600003"
"67",16000,4,4,"0001600004"
"68",17000,1,1,"0001700001"
"69",17000,2,2,"0001700002"
"70",17000,3,3,"0001700003"
"71",17000,4,4,"0001700004"
"72",17000,5,5,"0001700005"
"73",17000,6,6,"0001700006"
"74",18000,1,1,"0001800001"
"75",18000,2,2,"0001800002"
"76",18000,3,3,"0001800003"
"77",18000,4,4,"0001800004"
"78",19000,1,1,"0001900001"
"79",19000,2,2,"0001900002"
"80",19000,3,3,"0001900003"
"81",19000,4,4,"0001900004"
"82",20000,1,1,"0002000001"
"83",21000,1,1,"0002100001"
"84",21000,2,2,"0002100002"
"85",21000,3,3,"0002100003"
"86",21000,4,4,"0002100004"
"87",21000,5,5,"0002100005"
"88",22000,1,1,"0002200001"
"89",23000,1,1,"0002300001"
"90",23000,2,2,"0002300002"
"91",23000,3,3,"0002300003"
"92",23000,4,4,"0002300004"
"93",23000,5,5,"0002300005"
"94",23000,6,6,"0002300006"
"95",23000,7,7,"0002300007"
"96",23000,8,8,"0002300008"
"97",23000,9,9,"0002300009"
"98",23000,10,10,"0002300010"
"99",24000,1,1,"0002400001"
"100",24000,2,2,"0002400002"
"101",24000,3,3,"0002400003"
"102",24000,4,4,"0002400004"
"103",25000,1,1,"0002500001"
"104",25000,2,2,"0002500002"
"105",25000,3,3,"0002500003"
"106",25000,4,4,""
"107",25000,5,5,"0002500005"
"108",25000,6,6,""
"109",25000,7,7,""
"110",25000,8,8,"0002500008"
"111",25000,9,9,"0002500009"
"112",25000,10,10,"0002500010"
"113",25000,11,11,"0002500011"
"114",25000,12,12,""
"115",25000,13,13,""
"116",25004,1,1,"0002500004"
"117",25004,2,2,"0002500012"
"118",25004,3,3,"0002500403"
"119",25006,1,1,"0002500006"
"120",25006,2,2,"0002500013"
"121",25006,3,3,"0002500603"
"122",25007,1,1,"0002500701"
"123",25007,2,2,"0002500007"
"124",26000,1,1,"0002600001"
"125",26000,2,2,"0002600002"
"126",26000,3,3,"0002600003"
"127",26000,4,4,"0002600004"
"128",26000,5,5,"0002600005"
"129",26000,6,6,"0002600006"
"130",26000,7,7,"0002600007"
"131",26000,8,8,"0002600008"
"132",26000,9,9,"0002600009"
"133",26000,10,10,"0002600010"
"134",27000,1,1,"0002700001"
"135",27000,2,2,"0002700002"
"136",27000,3,3,"0002700003"
"137",27000,4,4,"0002700004"
"138",27000,5,5,"0002700005"
"139",27000,6,6,"0002700006"
"140",27000,7,7,"0002700007"
"141",28000,1,1,"0002800001"
"142",28000,2,2,"0002800002"
"143",28000,3,3,"0002800003"
"144",28000,4,4,"0002800004"
"145",28000,5,5,"0002800005"
"146",28000,6,6,"0002800006"
"147",28000,7,7,"0002800007"
"148",28000,8,8,"0002800008"
"149",28000,9,9,"0002800009"
"150",28000,10,10,"0002800010"
"151",28000,11,11,"0002800011"
"152",29000,1,1,"0002900001"
"153",29000,2,2,"0002900002"
"154",29000,3,3,"0002900003"
"155",29000,4,4,"0002900004"
"156",29000,5,5,"0002900005"
"157",29000,6,6,"0002900006"
"158",30000,1,1,"0003000001"
"159",30000,2,2,"0003000002"
"160",30000,3,3,"0003000003"
"161",30000,4,4,"0003000004"
"162",30000,5,5,"0003000005"
"163",30000,6,6,"0003000006"
"164",30000,7,7,"0003000007"
"165",30000,8,8,"0003000008"
"166",33000,1,1,"0003300001"
"167",33000,2,2,"0003300002"
"168",33000,3,3,"0003300003"
"169",34000,1,1,"0003400001"
"170",34000,2,2,"0003400002"
"171",34000,3,3,"0003400003"
"172",34000,4,4,"0003400004"
"173",34000,5,5,"0003400005"
"174",35000,1,1,"0003500001"
"175",35000,2,2,"0003500002"
"176",35000,3,3,"0003500003"
"177",35000,4,4,"0003500004"
"178",35000,5,5,"0003500005"
"179",35000,6,6,"0003500006"
"180",35000,7,7,"0003500007"
"181",35000,8,8,"0003500008"
"182",35000,9,9,"0003500009"
"183",35000,10,10,"0003500010"
"184",37000,1,1,"0003700001"
"185",37000,2,2,"0003700002"
"186",37000,3,3,"0003700003"
"187",37000,4,4,"0003700004"
"188",37000,5,5,""
"189",37000,6,6,"0003700006"
"190",37000,7,7,"0003700007"
"191",37000,8,8,"0003700008"
"192",37000,9,9,"0003700009"
"193",37000,10,10,"0003700010"
"194",37000,11,11,"0003700011"
"195",37000,12,12,"0003700012"
"196",37005,1,1,"0003700501"
"197",37005,2,2,"0003700005"
"198",37005,3,3,"0003700503"
"199",38000,1,1,"0003800001"
"200",38000,2,2,"0003800002"
"201",39000,1,1,"0003900001"
"202",39000,2,2,"0003900002"
"203",39000,3,3,"0003900003"
"204",39000,4,4,"0003900004"
"205",39000,5,5,"0003900005"
"206",39000,6,6,"0003900006"
"207",39000,7,7,"0003900007"
"208",40000,1,1,"0004000001"
"209",40000,2,2,"0004000002"
"210",42000,1,1,"0004200001"
"211",42000,2,2,"0004200002"
"212",42000,3,3,"0004200003"
"213",42000,4,4,"0004200004"
"214",42000,5,5,"0004200005"
"215",42000,6,6,"0004200006"
"216",42000,7,7,"0004200007"
"217",43000,1,1,"0004300001"
"218",43000,2,2,"0004300002"
"219",43000,3,3,"0004300003"
"220",43000,4,4,"0004300004"
"221",43000,5,5,"0004300005"
"222",44000,1,1,"0004400001"
"223",44000,2,2,"0004400002"
